,quote,quotee
0,"When you see a good move, look for a better one.",Emanuel Lasker
1,Nothing excites jaded Grandmasters more than a theoretical novelty.,Dominic Lawson
2,The Pin is mightier than the sword.,Fred Reinfeld
3,"We cannot resist the fascination of sacrifice, since a passion for sacrifices is part of a chess player’s nature.",Rudolf Spielman
4,"All I want to do, ever, is just play chess.",Bobby Fischer
5,"A win by an unsound combination, however showy, fills me with artistic horror.",Wilhelm Steinitz
6,"The chessboard is the world, the pieces are the phenomena of the Universe, the rules of the game are what we call the laws of Nature and the player on the other side is hidden from us.",Thomas Huxley
7,Adequate compensation for a sacrifice is having a sound combination leading to a winning position; adequate compensation for a blunder is having your opponent snatch defeat from the jaws of victory.,Bruce A. Moon
8,"Strategy requires thought, tactics require observation.",Max Euwe
9,I don’t believe in psychology. I believe in good moves.,Bobby Fischer
10,"Modern chess is too much concerned with things like pawn structure. Forget it, checkmate ends the game.",Nigel Short
11,"Life is a kind of chess, with struggle, competition, good and ill events.",Benjamin Franklin
12,Even the laziest king flees wildly in the face of a double check!,Aron Nimzowitsch
13,"Combinations have always been the most intriguing aspect of chess.  The masters look for them, the public applauds them, the critics praise them. It is because combinations are possible that chess is more than a lifeless mathematical exercise. They are the poetry of the game; they are to chess what melody is to music. They represent the triumph of mind over matter.",Reuben Fine
14,Chess is a fairy tale of 1001 blunders.,Savielly Tartakower
15,"Chess is no whit inferior to the violin, and we have a large number of professional violinists.",Mikhail Botvinnik
16,Only the player with the initiative has the right to attack.,Wilhelm Steinitz
17,The winner of the game is the player who makes the next-to-last mistake.,Savielly Tartakower
18,Your body has to be in top condition. Your chess deteriorates as your body does. You can’t separate body from mind.,Bobby Fischer
19,"Of chess it has been said that life is not long enough for it, but that is the fault of life, not chess.",William Ewart Napier
20,I have added these principles to the law: get the Knights into action before both Bishops are developed.,Emanuel Lasker
21,"Life is like a game of chess, changing with each move.",Chinese proverb
22,You cannot play at chess if you are kind-hearted.,French proverb
23,It’s just you and your opponent at the board and you’re trying to prove something.,Bobby Fischer
24,"It is the aim of the modern school, not to treat every position according to one general law, but according to the principle inherent in the position.",Richard Reti
25,The pawns are the soul of the game.,François-André Danican Philidor
26,"In order to improve your game, you must study the endgame before everything else, for whereas the endings can be studied and mastered by themselves, the middlegame and the opening must be studied in relation to the endgame.",Jose Raul Capablanca
27,Without error there can be no brilliancy.,Emanuel Lasker
28,Chess is like war on a board.,Bobby Fischer
29,Chess is played with the mind and not with the hands!,Renaud and Kahn
30,Chess is mental torture.,Garry Kasparov
31,"Many have become chess masters, no one has become the master of chess.",Siegbert Tarrasch
32,"The most important feature of the chess position is the activity of the pieces. This is absolutely fundamental in all phases of the game: Opening, Middlegame and especially Endgame. The primary constraint on a piece’s activity is the pawn structure.",Michael Stean
33,You have to have the fighting spirit. You have to force moves and take chances.,Bobby Fischer
34,"Could we look into the head of a chess player, we should see there a whole world of feelings, images, ideas, emotion and passion.",Alfred Binet
35,Openings teach you openings. Endgames teach you chess!,Stephan Gerzadowicz
36,My style is somewhere between that of Tal and Petrosian.,Reshevsky
37,"Play the opening like a book, the middlegame like a magician, and the endgame like a machine.",Spielmann
38,"That’s what chess is all about. One day you give your opponent a lesson, the next day he gives you one.",Bobby Fischer
39,Some part of a mistake is always correct.,Savielly Tartakower
40,Methodical thinking is of more use in chess than inspiration.,C. J. S. Purdy
41,When in doubt... play chess!,Tevis
42,"Who is your opponent tonight, tonight I am playing against the black pieces.",Akiba Rubinstein
43,I like the moment when I break a man’s ego.,Bobby Fischer
44,Excellence at chess is one mark of a scheming mind.,Sir Arthur Conan Doyle
45,A bad day of chess is better than any good day at work.,Anonymous
46,Chess is the art of analysis.,Mikhail Botvinnik
47,"The mistakes are there, waiting to be made.",Savielly Tartakower
48,"After black’s reply to 1.e4 with 1..e5, leaves him always trying to get into the game.",Howard Staunton
49,A player surprised is half beaten.,Proverb
50,A passed pawn increases in strength as the number of pieces on the board diminishes.,Capablanca
51,The essence of chess is thinking about what chess is.,David Bronstein
52,I am the best player in the world and I am here to prove it.,Bobby Fischer
53,Chess is a forcing house where the fruits of character can ripen more fully than in life.,Edward Morgan Foster
54,"Half the variations which are calculated in a tournament game turn out to be completely superfluous. Unfortunately, no one knows in advance which half.",Jan Timman
55,"Good positions don’t win games, good moves do.",Gerald Abrahams
56,"If I win a tournament, I win it by myself.  I do the playing. Nobody helps me.",Bobby Fischer
57,What would chess be without silly mistakes?,Kurt Richter
58,"Before the endgame, the Gods have placed the middle game.",Siegbert Tarrasch
59,Chess was Capablanca’s mother tongue.,Reti
60,Alekhine is a poet who creates a work of art out of something that would hardly inspire another man to send home a picture post card.,Max Euwe
61,During a chess competition a chess master should be a combination of a beast of prey and a monk.,Alexander Alekhine
62,No one ever won a game by resigning.,Savielly Tartakower
63,The defensive power of a pinned piece is only imaginary.,Aron Nimzowitsch
64,"When the chess game is over, the pawn and the king go back to the same box.",Irish saying
65,"A strong memory, concentration, imagination, and a strong will is required to become a great chess player.",Bobby Fischer
66,Every chess master was once a beginner.,Chernev
67,"One doesn’t have to play well, it’s enough to play better than your opponent.",Siegbert Tarrasch
68,"Chess is above all, a fight!",Emanuel Lasker
69,Discovered check is the dive bomber of the chessboard.,Reuben Fine
70,"I know people who have all the will in the world, but still can’t play good chess.",Bobby Fischer
71,"A chess game is a dialogue, a conversation between a player and his opponent. Each move by the opponent may contain threats or be a blunder, but a player cannot defend against threats or take advantage of blunders if he does not first ask himself: What is my opponent planning after each move?",Bruce A. Moon
72,The hardest game to win is a won game.,Emanuel Lasker
73,The most powerful weapon in chess is to have the next move.,David Bronstein
74,He who fears an isolated queen’s pawn should give up chess.,Siegbert Tarrasch
75,Different people feel differently about resigning.,Bobby Fischer
76,Chess is not like life... it has rules!,Mark Pasternak
77,It’s always better to sacrifice your opponent’s men.,Savielly Tartakower
78,"To avoid losing a piece, many a person has lost the game.",Savielly Tartakower
79,All that matters on the chessboard is good moves.,Bobby Fischer
80,Help your pieces so they can help you.,Paul Morphy
81,In a gambit you give up a pawn for the sake of getting a lost game.,Samuel Standige Boden
82,It is not enough to be a good player... you must also play well.,Siegbert Tarrasch
83,A sacrifice is best refuted by accepting it.,Wilhelm Steinitz
84,Tactics flow from a superior position.,Bobby Fischer
85,"Later, I began to succeed in decisive games. Perhaps because I realized a very simple truth: not only was I worried, but also my opponent.",Mikhail Tal
86,Chess is life.,Bobby Fischer
87,Chess is a beautiful mistress.,Bent Larsen
88,Some sacrifices are sound; the rest are mine.,Mikhail Tal
89,Best by test: 1. e4.,Bobby Fischer
90,A bad plan is better than none at all.,Frank Marshall
91,"Chess books should be used as we use glasses: to assist the sight, although some players make use of them as if they thought they conferred sight.",Jose Raul Capablanca
92,There are two types of sacrifices: correct ones and mine.,Mikhail Tal
93,Morphy was probably the greatest genius of them all.,Bobby Fischer
94,My opponents make good moves too. Sometimes I don’t take these things into consideration.,Bobby Fischer
95,"The combination player thinks forward; he starts from the given position, and tries the forceful moves in his mind.",Emanuel Lasker
96,"A chess game is divided into three stages: the first, when you hope you have the advantage, the second when you believe you have an advantage, and the third... when you know you’re going to lose!",Savielly Tartakower
97,Chess demands total concentration.,Bobby Fischer
98,"Chess, like love, like music, has the power to make people happy.",Siegbert Tarrasch
99,All my games are real.,Bobby Fischer
100,"Chess is everything: art, science and sport.",Anatoly Karpov
101,Chess is the art which expresses the science of logic.,Mikhail Botvinnik
102,"Not all artists are chess players, but all chess players are artists.",Marcel Duchamp
103,Chess is imagination.,David Bronstein
104,Chess is thirty to forty percent psychology. You don’t have this when you play a computer. I can’t confuse it.,Judith Polgar
105,"On the chessboard, lies and hypocrisy do not survive long.",Emanuel Lasker
106,Chess is war over the board. The object is to crush the opponents mind.,Bobby Fischer
107,"The passed pawn is a criminal, who should be kept under lock and key.  Mild measures, such as police surveillance, are not sufficient.",Aron Nimzowitsch
